Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Cancer.Risk,Development.Risk,Allergies.Risk,Endocryne.Risk,Prohibited.Risk,Env.Risk,Total.Risk,HPC.score,norm.Cancer.Risk,norm.Development.Risk,norm.Allergies.Risk,norm.Endocryne.Risk,norm.Prohibited.Risk,norm.Env.Risk,norm.Total.Risk,norm.HPC.score,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62
7548608975,Hawaiian Tropic Kids SPF50 UVA/UVB,240ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,37,9.81081081081081,5.32432432432432,18.5405405405405,4.43243243243243,12.972972972973,17.5405405405405,59.7918918918919,59.7918918918919,3.63771636805344,4.31016731016731,4.37873172251467,3.38264580369843,4.14740144521307,4.17099902450219,4.56437025461222,4.56437025461222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793742032615,Dermaglos Solar FPS30 UBV/UVA,380 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,"HIPOALERGÉNICO , NO COMEDOGÉNICO",27,1.66666666666667,3.22222222222222,14,5.62962962962963,7.2962962962963,8.33333333333333,38.6481481481481,38.6481481481481,0.617977528089888,2.60846560846561,3.30638925985802,4.2962962962963,2.33259329738874,1.98159943382873,2.95030734471834,2.95030734471834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793742003493,Dermaglos Solar FPS20 UBV/UVA,250 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,"HIPOALERGÉNICO , NO COMEDOGÉNICO",26,1.61538461538462,3.30769230769231,13.3461538461538,5.46153846153846,6.80769230769231,6.80769230769231,35.8923076923077,35.8923076923077,0.598962834917892,2.67765567765568,3.15196998123827,4.16801619433198,2.17638878723561,1.61881430671239,2.73993306477687,2.73993306477687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798177222570,Lidherma Autobronceante con extracto de nuez y aloe,150 g,Cuidado Personal;Cuidado Corporal;Bronceador,,24,2.375,0.833333333333333,9.14583333333333,0.0833333333333333,5.29166666666667,7.375,22.9666666666667,22.9666666666667,0.880617977528089,0.674603174603175,2.15997750755606,0.0635964912280702,1.69172216936252,1.75371549893843,1.75322049301375,1.75322049301375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793742004568,Dermaglós solar FPS50 cuidado facial crema con color,50 g,Cuidado Personal; Cuidado Corporal;Protectores Solares,"HIPOALERGÉNICO , NO COMEDOGÉNICO",31,5.41935483870968,4.09677419354839,13.3225806451613,6.38709677419355,6.93548387096774,6.90322580645161,38.1870967741935,38.1870967741935,2.00942370424067,3.31643625192013,3.14640268276812,4.87436332767403,2.21724317853964,1.64153140195877,2.91511178373941,2.91511178373941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303757,La Roche-Posay anthelios age correct fps 50,48 g,Cuidado Personal; Cuidado Corporal;Protectores Solares,Hipoalergénico. No comedogénico,35,5.2,5.22857142857143,9.07142857142857,1.71428571428571,6.45714285714286,11.2857142857143,34.2771428571429,34.2771428571429,1.92808988764045,4.23265306122449,2.14240528572433,1.30827067669173,2.06431969552807,2.68365180467091,2.61663523798705,2.61663523798705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77958,Dermaglós protector solar FPS40 efecto seco,180gr,Cuidado Personal; Cuidado Corporal;Protectores Solares,Sin T.A.C.C,22,1.68181818181818,4,10.6590909090909,7.13636363636364,5.81818181818182,5.95454545454545,33.7363636363636,33.7363636363636,0.623595505617976,3.23809523809524,2.51736455011917,5.44617224880383,1.86004670876222,1.41594286817216,2.57535344355746,2.57535344355746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77959,Dermaglós Protecor solar FPS30 efecto seco,180gr,Cuidado Personal; Cuidado Corporal;Protectores Solares,Sin T.A.C.C,22,1.68181818181818,4,10.6590909090909,7.13636363636364,5.81818181818182,5.95454545454545,33.7363636363636,33.7363636363636,0.623595505617976,3.23809523809524,2.51736455011917,5.44617224880383,1.86004670876222,1.41594286817216,2.57535344355746,2.57535344355746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303760,La Roche-Posay autobronceante efecto natrual,100 ml,Cuidado Personal;Cuidado Corporal;Bronceador,,22,0,2.5,2.70454545454545,0,2.77272727272727,7.18181818181818,15.1590909090909,15.1590909090909,0,2.02380952380952,0.638734288836208,0,0.886428509644495,1.70777842115421,1.15720880278417,1.15720880278417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303761,La Roche-Posay ANTHELIOS XL GEL-CREMA TOQUE SECO FPS 50+,50ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,36,8.47222222222222,6,14.9388888888889,4.63888888888889,11.4444444444444,17.9722222222222,55.8416666666667,55.8416666666667,3.14138576779026,4.85714285714286,3.52812726974533,3.54020467836257,3.65873771011734,4.27364944562396,4.26281949335454,4.26281949335454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77962,Cepage filtres fluide fps50,50ml,Cuidado Personal; Cuidado Corporal;Protectores Solares,,39,9.58974358974359,5.43589743589744,12.4871794871795,3.02564102564103,5.30769230769231,14.9230769230769,42.1384615384615,42.1384615384615,3.55574762316335,4.40048840048841,2.94910543873784,2.30904183535763,1.69684549513285,3.54858729381021,3.2167495346866,3.2167495346866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
