codigo,name,score,norm.HPC.score,diferencia,numero_ingredientes
4084500357143,Pantene Champú Suave y Liso (700 ml),3.6293492,4.93239901071724,-1.3030498107172397,26
8001841680620,Pantene Miracle Shampoo Suave y Liso,2.5882845,4.01600310363222,-1.4277186036322198,34
8710447267134,Tresemme CHAMPÚ BOTANIQUE REPARACIÓN INTENSIVA,4.111285,5.25869744435285,-1.1474124443528506,30
8710447298930,Tresemme CHAMPÚ HIDRATACIÓN INTENSA,5.6898284,6.55837126778738,-0.8685428677873803,23
8710447170908,Tresemme CHAMPÚ CUIDADO CLÁSICO,5.6898284,6.55837126778738,-0.8685428677873803,23
4001638501484,Weleda Skin Food Light,8.571499,8.95507007419621,-0.38357107419620995,22
3283950911184,Cattier Leche Hidratante Nutritiva,8.788771,9.133690574333608,-0.3449195743336073,18
3283950911153,Cattier Leche Hidratante Nutritiva,6.770056,7.71254122011541,-0.9424852201154099,24
4025089075127,SANTEG el de ducha Bio de piña y limón,7.659564,8.50341538099164,-0.8438513809916408,21
4025089075233,Sante Champú tratante Bio de naranja y coco,8.085437,8.68446001648805,-0.599023016488049,18
4743318168012,Oma Gertrude Champú Reparador Cabellos Secos y Dañados,6.90928,7.7047265732343995,-0.7954465732343996,18
4743318168050,Oma Gertrude Mascarilla capilar reparación y nutrición cabellos secos y dañados,7.758686,8.83718054410552,-1.0784945441055198,18
4743318168005,Oma Gertrude Champú Uso Diario,7.2195544,7.8351195383347,-0.6155651383347003,18
4743318183091,Oma Gertrude Gel ducha nutritivo todo tipo de pieles,6.9055495,8.12027440819692,-1.2147249081969198,14
4743318183060,Oma Gertrude Gel ducha relajante todo tipo de pieles,7.0301647,8.17592745259686,-1.145762752596859,15
4001638088268,Weleda Gel de ducha en crema Rosa Mosqueta,7.39845,8.36115691123936,-0.9627069112393603,18
4001638088275,Weleda Gel de ducha en Crema de Citrus,7.8639402,8.9435873277588,-1.0796471277588005,14
3596206332825,Weleda Crema Rostro y Cuerpo de Caléndula,7.5311623,8.26179925803792,-0.7306369580379197,16
4037067280102,Neobio Dentifrico romero y hamamelis sin fluor,9.395538,9.669552074745809,-0.27401407474580886,18
4017645042346,Logodent Gel Dentífrico Fresas Niños,8.361154,9.540690142503827,-1.1795361425038262,14
8414002084838,Corpore Sano Desodorante roll-on árbol de té,4.53138,7.76746702390767,-3.23608702390767,16
5765228837610,Urtekram Desodorante Roll-On Rosas,7.835026,9.070816158285243,-1.2357901582852433,10
4001638097079,Weleda Desodorante de Citrus,4.856002,7.91014014839242,-3.05413814839242,8
5765228837467,Uterkram Champú de Árbol de Té,7.9452467,8.3924154987634,-0.4471687987633999,18
8411135350038,Lactovit Nutritivo Piel Normal Seca,2.1900458,4.83446799457491,-2.6444221945749096,31
7891037000322,Seda Creme de Pentear Cachos Definidos 300ml,1.6049719,5.95657550449837,-4.35160360449837,23
7891150037434,Shampoo Seda Crescimento Saudável 325ml,2.9606938,4.41673536685903,-1.4560415668590303,26
7891150037502,Seda Shampoo Liso Extremo,3.2461152,4.63685078318219,-1.39073558318219,26
7891150049888,Close Up Creme Dental Triple Hortelã 70g,4.491692,8.35796725945119,-3.86627525945119,14
7891150025929,Shampoo Baby Dove Hidratação Enriquecida,4.818882,6.083617948415959,-1.264735948415959,21
7891150035928,Baby Dove Shampoo Refil Hidratação Enriquecida,2.5759425,6.083617948415959,-3.5076754484159594,21
7501056348922,Dove Loção Desodorante Hidratante Corporal Dove Nutrição Essencial 200ml,3.044632,4.75324608408904,-1.7086140840890396,32
7891150028425,Vasenol Loção Desodorante Hidratante Nutrição do Cacau 200ml,4.7193875,5.589477093393,-0.8700895933929997,28
7500435128926,Pantene MICELAR PURIFICA E HIDRATA SHAMPOO,4.345038,5.59521846661171,-1.2501804666117105,20
4001638093668,WELEDA SABONETE LIQUIDO CORPORAL,7.984615,8.25487771365759,-0.2702627136575906,18
4005900527073,Nivea SABONETE NIVEA TOQUE DE BAUNILHA 85G,6.5485697,7.88013190436933,-1.3315622043693303,15
7891177816852,Desodorante Nivea Spray Fresh Natural,5.7761908,7.403751030502891,-1.6275602305028904,10
8000700000005,DOVE Pastilla de jabón original hidratante,7.0851297,8.02159934047815,-0.9364696404781503,15
7899026464919,SHAMPOO ELSEVE ARGININA RESIST X3 CABELOS FRAGILIZADOS OU COM QUEDA 200ML,7.436025,7.8991793449749,-0.4631543449749005,22
7891010047184,CONDICIONADOR JOHNSONS BABY CABELOS CACHEADOS CONTROLE DE VOLUME 200ML,5.3226485,6.70947547403133,-1.3868269740313304,16
7891010030476,CONDICIONADOR JOHNSONS BABY CAMOMILA CABELOS CLAROS,7.156663,8.52906018136851,-1.3723971813685107,10
4005808890590,Nivea Soft Cream,5.6741395,6.77709077585418,-1.1029512758541804,27
7896279102636,TALCO MURIEL BABY MENINA 75G,3.10531,6.32532976092334,-3.2200197609233405,12
7791293035901,TALCO REXONA EFFICIENT ANTIBACTERIAL PARA PES 100G,4.3720675,7.29122011541632,-2.91915261541632,10
7896512900166,SABONETE GRANADO ANTISSEPTICO 80G,6.0921965,5.1277823577906,0.9644141422094004,26
7791293032436,DESODORANTE REXONA AE POWDER WOMEN 150ML,6.595723,7.37427864798022,-0.7785556479802205,9
3337872412141,DESODORANTE LA ROCHE AE PELES SENSIVEIS 150ML,7.998474,8.14250918084388,-0.1440351808438809,11
7891010887742,NEUTROGENA HYDRO BOOST WATER GEL FPS25 HIDRATANTE FACIAL 55G,1.0,3.71990931574609,-2.71990931574609,26
7899706149211,EFFACLAR CONCENTRADO SABONETE EM BARRA ANTIOLEOSIDADE LA ROCHE 70G,7.578066,7.74181659473353,-0.16375059473353026,17
7897930762053,CETAPHIL CREME HIDRATANTE BODY PELE EXTREMAMENTE SECA E SENSIVEL 453G,6.548067,6.815451654693209,-0.2673846546932097,21
3433422408586,LIPIKAR SURGRAS SABONETE LIQUIDO CONCENTRADO ANTIRRESSECAMENTO LA ROCHE 400ML PUMP,7.8450375,8.5604811511654,-0.7154436511653994,21
3337872413728,CREME ANTI-IDADE HYALU B5 REPAIR,3.7486248,6.28992462607467,-2.5412998260746704,28
7899706157117,SHAMPOO ANTICASPA KERIUM - 200ML,7.246668,7.7373248145094795,-0.49065681450947984,24
2020,The Body Shop Creme Firmador Facial Roots Of Strength,4.3387346,5.93441879637263,-1.5956841963726296,40
2021,The Body Shop Creme para as mãos Flores de Lolita,6.369211,8.2587850370981,-1.8895740370981002,16
2022,Condicionador De Morango,6.5803165,7.76829445710683,-1.1879779571068294,17
2023,Pantene TRATAMENTO CAPILAR MICRO-BLINDAGEM,3.131917,6.62218127151932,-3.49026427151932,17
7898587762878,Garnier Creme de Pentear Fructtis óleo Blindagem,5.4381742,8.23827651423306,-2.8001023142330608,17
7891150065024,"Desodorante Creme Love, Beauty And Planet Manteiga de Murumuru & Rosa",5.197515,7.01939219066177,-1.8218771906617697,22
7891150062160,"Sabonete Líquido Love, Beauty And Planet Óleo de Argan & Lavanda",6.5331564,6.87244435284419,-0.3392879528441899,20
8470003173704,ISDIN Lozione Doposole,3.9514751,6.44659521846661,-2.4951201184666103,25
8029182005025,BIOEARTH LOOM CREME RICHE CREMA ALLA BAVA DI LUMACA 78%,9.320713,9.541838417147568,-0.22112541714756873,20
3700527702261,IOMA Gel Riparatore Giorno e Notte 7 x 1 ml Monodose,6.565015,7.167855478691,-0.6028404786910002,23
8716716089704,Rituals Samurai Cool Hair Shampoo Rinfrescante Per Uso Quotidiano,4.53628,5.72941682497581,-1.1931368249758103,23
3661434007422,Uriage DS Hair Shampoo Cheratoriduttore,4.446325,5.47701372387372,-1.0306887238737206,34
3661434007415,Uriage DS Hair Shampoo Antiforfora,4.6287785,5.6563066776587,-1.0275281776586995,30
3001,Klorane Shampoo all’Ortica,7.182995,7.70699992505433,-0.5240049250543297,22
3264680014871,Nuxe Aquabella Beauty-Revealing Essence Lozione-Essenza Rivelatrice di Bellezza,5.324887,7.25256153574373,-1.92767453574373,21
5060033779064,Ren Evercalm Latte Detergente Delicato,8.372108,8.49905193734542,-0.12694393734541976,30
20714918477,Clinique Even Better Refresh Fondotinta e correttore CN 74 Beige,1.0,4.56969042271939,-3.5696904227193897,56
3614272132931,Biotherm Skin Oxygen SPF 15 Crema Corpo,3.1683474,6.16108821104699,-2.99274081104699,40
3614272079687,Biotherm Bath Therapy Invigorating Blend Crema corpo rinvigorente,4.5340695,5.54336090205569,-1.0092914020556902,31
3614272079632,Biotherm Bath Therapy Invigorating Blend Body Smoothing Scrub,5.2954636,6.02283594394064,-0.7273723439406403,25
8429420128644,ISDIN MICELLAR SOLUTION,9.8741255,9.799051937345425,0.0750735626545751,8
3367729023930,Biotherm Eau Vitaminée latte idratante tonificante corpo,5.264969,6.46216582263573,-1.1971968226357301,28
3614272079533,Biotherm Bath Therapy Relaxing Blend Body Hydrating Cream Infused,5.4464455,6.37543281121187,-0.9289873112118698,30
3614271636812,Biotherm Corpo - Skin Fitness Instant Smoothing&Moisturizing Body Treatment,3.738463,4.81473619126134,-1.0762731912613401,40
3614271219404,Biotherm - Super bust tense-in-serum - crema seno rassodante,7.548287,8.2738561417972,-0.7255691417971999,16
3614271250223,Biotherm Aqua-gelee gel corpo,6.4977922,7.766303640387029,-1.2685114403870292,19
8470003341936,URADIN LOTION10 BODY LOTION,4.877518,5.76894130787437,-0.8914233078743701,31
7793008009290,919 Crema colorante protectora (Crema colorante protectora/ crema reveladora/tratamiento pre-color con aloe vera/ tratamiento post-color con aloe vera),7.561186,8.474580928826601,-0.9133949288266008,18
252,919 Crema reveladora,7.9460487,9.205138774388569,-1.2590900743885687,9
253,919 Tratamiento pre-color con aloe vera,3.9128122,6.9225241048066195,-3.0097119048066197,23
254,919 Tratamiento post-color con aloe vera,2.9703522,6.86644682605111,-3.89609462605111,13
255,The Chemist Look BOOSTER VIT-B3/Zn-Boosters Plus,7.95518,8.6603462489695,-0.7051662489694994,15
779734,Guiv Crema para manos Kali,5.562119,7.90554704981746,-2.34342804981746,21
7891150025998,SABONETE DOVE BABY HIDRATAÇAO SENSIVEL 75G,5.8140798,7.382474176810041,-1.5683943768100406,17
259,The Chemist Look TÓNICO EXFOLIANTE MA DIARIO,7.9167385,8.41220115416323,-0.4954626541632292,13
12388000022,Jabón Lirio Neutro 150,7.7996697,9.102967848309977,-1.3032981483099766,5
12388002842,Jabón en Barra Lirio Bath & Spa Aguacate y Aceite de Olivo,7.8450375,9.011335531739489,-1.1662980317394886,10
12388002958,Jabón Lirio Coco Antibacterial,7.7996697,9.024732069249794,-1.2250623692497937,6
7899706152860,Kerium Ds Shampoo Anticaspa Intensivo La Roche-posay,6.8355923,7.41580791426216,-0.5802156142621602,24
3337875598750,CeraVe Loción Hidratante,6.91628,7.7172300082440195,-0.8009500082440191,25
3337875597227,CeraVe Loción Hidratante,6.5127506,7.4278647980214405,-0.9151141980214401,24
7896014157525,Vichy Dercos Energizante Aminexil,8.301655,8.56312566246614,-0.2614706624661398,21
7899706149037,Dercos Sensi Care Vichy Creme De Limpeza Com,7.984952,8.31969143799316,-0.33473943799316075,21
7897930762060,Cetaphil - Loção Hidratante P Pele Normal A Seca,6.403774,7.4467775568595105,-1.0430035568595102,17
7896290401855,Doctar Shampoo,10.0,9.862207042751148,0.13779295724885188,7
7896422506564,Ureadin 20% Creme,8.047763,7.43224911938844,0.6155138806115596,22
3337872413155,La Roche Posay Effaclar Anti-idade,8.255017,8.99573250569808,-0.7407155056980788,17
7896658026980,Profuse Densifiant Fondant Olhos,5.873083,7.05857967259451,-1.1854966725945095,35
3337872413704,Redermic Hyalu C Tubo,5.726486,6.97259686727123,-1.2461108672712298,25
3337875594516,Vichy Mineral 89 Serum,7.911081,8.739385820280301,-0.8283048202803007,12
7896658026355,Essencele Profuse Filler R,1.0,4.4854980139399,-3.4854980139398997,33
3401344957253,Node Ds E Shampoo Anticaspa Bioderma,5.68622,6.46108134102775,-0.7748613410277505,36
7896658033384,Profuse Hidradeep Daily,7.854252,8.43041295061081,-0.5761609506108103,22
4005808369621,Protetor Labial Nivea Lip Care Med Protection,4.3748684,5.713972289445,-1.3391038894449991,31
7896658026997,Profuse Densifiant Creme,5.164084,5.83909245584185,-0.6750084558418505,47
3337872414152,Pigmentclar Olhos,5.2531433,6.29994875337003,-1.0468054533700304,37
5901887033196,Ziaja Natural Olive regenerating Shampoo,3.9479837,5.22966773002616,-1.2816840300261596,23
7896015525804,Corega Ultra Cr S/sabor,9.075529,9.959810387469085,-0.8842813874690858,8
7896015518325,Creme Dental Sensodyne Pro Esmalte,5.577946,7.65694558944765,-2.0789995894476503,16
7896015528577,Creme Dental Sensodyne Repair E Protect Whitening,4.5558915,7.80783931649555,-3.2519478164955498,11
7896009419324,Creme Dental Sensodyne Original,4.6438456,8.41441402351716,-3.770568423517161,19
4001638081863,Weleda Gel Dentífrico para Niños,8.158249,9.578455619675736,-1.4202066196757368,9
7891010030452,Condicionador J&j Baby,7.0360365,8.47279472382523,-1.4367582238252297,10
305,Desodorante Rexona Clinical Aerosol 3x mais proteção,1.0,4.74392940118415,-3.7439294011841504,22
7506306244184,Rexona Men Antitranspirante Aerosol Invisible,1.2775669,4.82422093981863,-3.5466540398186304,25
42360407,Creme Facial Nivea Nutritivo,6.1366544,7.423136608311911,-1.2864822083119103,17
4005808662388,Desodorante Nivea Aerosol Sensitive Pure,6.115204,7.139571310799679,-1.0243673107996791,15
4025089075141,Gel de ducha Bio de coco y vainilla Sante,5.900623,8.57969909315746,-2.6790760931574598,20
5765228835852,Gel de Baño Sin Perfume Urtekram,6.8132544,8.91488046166529,-2.1016260616652893,16
4744183011533,Gel de Ducha Relajante Lavande de Provence Organic Shop 280 ml,4.413662,8.1159109645507,-3.7022489645506997,15
8002849917879,Gel íntimo BIO Anthyllis,8.944308,9.665086562242376,-0.7207785622423764,12
5765228836682,Gel de ducha bayas nórdicas BIO Urtekram,5.6355433,8.45424567188788,-2.8187023718878805,25
8052400932582,Gel de baño delicado aloe vera y aceite de oliva Greenatural,2.8280053,7.61982930022792,-4.79182400022792,17
3662217004874,Gel de ducha orgánico Infusión de lavanda afrutada Avril,1.0,6.90965520585811,-5.90965520585811,17
3283950911917,Gel de ducha relajante Cattier,2.0719857,7.23709810387469,-5.16511240387469,15
8445303149599,Jabón sólido corporal Vainilla y Karité Planeta Huerto,8.003824,8.80296784830998,-0.7991438483099795,13
8421427033068,Jabón pastilla coco puro sin perfume Beltrán Vital,10.0,9.871393239901073,0.12860676009892735,5
8437015175706,Jabón de Alepo 40% Inkanat,10.0,10.0,0.0,5
5765228835845,Jabón Sin Perfume Urtekram,9.829871,9.91962077493817,-0.08974977493816994,6
5765228838648,Jabón Aloe Vera Urtekram,9.64354,9.80351744984886,-0.15997744984885998,9
4744183011656,Jabón de Manos Nutritivo Melocotón Rosa Organic Shop,6.8658524,8.09616064067837,-1.2303082406783705,14
5765228835876,Jabón de manos Sin Perfume Urtekram,8.27254,8.938994229183841,-0.6664542291838416,15
8437015175713,"Jabón de Alepo Inkanat, 4%",9.88658,9.959810387469085,-0.07323038746908495,4
