"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"La roche posay ANTHELIOS DP LOCIÓN FPS 50+ PANTALLA SOLAR PARA NIÑOS",30,"779989",8.115385,0.70384616,3.8461537,1.6153846,11.346154,8.3076935,5.079791
"Eucerin Sun Kids Spray FPS 50+",27,"4005800066627",7.863637,0.4909091,2.7272727,1.8181819,7.1363635,5.681818,3.8498445
"Dermaglos PROTECTOR SOLAR BEBÉS con FPS 65",26,"7793742004650",10.291667,0.74583334,3.875,3.9583335,7.958334,4.7499995,4.7271957
"Vichy Protector Solar Niños Idéal Soleil Spray",24,"3337875654586",10.409091,0.8590909,4,1.6363636,11.590909,8.272728,5.5039573
"Caviahue Protector Solar FPS70 Pediatrico",24,"7798120266200",9.368421,0.89473695,5.473684,1.7894737,8.473683,5.315789,4.68777
"NIVEA BLOQUEADOR SOLAR FPS 60 SENSITIVE PROTECT & PLAY",33,"4005808555741b",9.106451,0.816129,2.9032257,1.9354838,8.387097,7.7419353,4.62408
"Rayito De Sol Protector Solar Kids Fps65 Pediatric",24,"7796045102276b",10.636364,0.48636362,6.090909,1.9090909,9,4.636363,4.903823
"ISDIN FOTO PEDIATRIC FUSION WATER SPF50",28,"8429420196377",9.961538,0.49615383,3.6153846,1.8461539,14.538462,11.846153,6.3326106
"Mustela Very High Protection Sun Lotion - SPF 50+",21,"3504105036775",3.4736843,0.6631579,0,1.8947369,8.157894,1.7368422,2.3840656
"Sentida botánica protector solar FPS30",19,"77999",3.8357143,0.4,0,0,0.71428573,5.571429,1.2015687
"WENEAR PROTECTOR SOLAR FPS30+",17,"779100",1.9285715,0.54285717,1,0,3.0714285,2.757143,1.0620791
"Umbrella Protector Solar Piel Sensible Spf 50",28,"779101",4.809524,0.8380952,2.857143,1.8095238,8.380953,3.904762,2.5809667
"PROTECTOR SOLAR FACIAL BIOACTIV FPS 50",12,"779102",3.9999998,0.25555557,0,0,5.333333,1.4444444,1.7607834
"Natura protector solar ekos buriti",37,"779103",8.415152,0.4909091,1.4242425,0,2.6666665,5.787879,2.1452682
"Aurelia protector solar facial fps 40",14,"779104",2.8888888,0.35555556,1,0,1,2.5555556,1.2447835
"Ecodherm protector solar spf 30 UVA",14,"779105",1.909091,0.5,1,0,1.909091,2.3909092,0.880394
"ISDIN AGE REPAIR FUSION WATER 50 DAYLI",42,"779106",15.641026,0.5846154,3.7435896,1.8974359,16.435898,16.179487,8.694662
"Agua Protectora Solar Hidratante FPS 50 CAPITAL SOLEIL",23,"779107",11.357142,0.59523815,3.8095238,1.3333334,8.428572,6.0952387,3.6109598
"Capital Soleil BB Cream con Protección Solar",40,"779108",16.524998,0.8055555,6.75,4.611111,22.583334,12.055554,7.2324786
"Veganis Protetor Solar 50 fps",32,"779109",15.844828,1.0551723,5.965517,3.1034484,12.4482765,8.4827585,5.3560762
"PROTECTOR SOLAR DIARIO 50 FPS",32,"779110",16.724136,1.0931034,6.068965,3.1724138,13.034483,8.931034,5.5986567
"Aurelia Solare 40 - Pantalla solar mineral FPS 40",14,"779111",2.8888888,0.35555556,1,0,1,2.5555556,1.2447835
"Caviahue protector solar fps50",12,"779112",9.666667,0.36666667,4,1.3333334,8.222222,7.4444447,3.54407
"Rayito de sol gel post solar extra refrescante",14,"779113",8.208334,0.13333334,0,1,2.6666665,5.333333,1.980454
"Rayito de sol gel post solar aloe vera",15,"779114",8.730769,0.22307692,0,1.3076923,3,4.1538463,1.9888726
"Rayito de sol protector solar Fps 50",31,"779115",14.896551,1.0931035,5.3103447,5.3103447,10.862069,7.551724,5.1418486
"Bioderma Photoderm NUDE Touch SPF 50+ Teinte Claire",30,"7791116",6.08,0.636,0.72,0,6,7.12,2.3475373
"ACF Camuflaje UV Barra",14,"779117",3.2,0.39,0.5,3.1,4.1,0.7,1.3692826
"Soleil Protector solar fps 99",17,"77911811",9.692307,0.15384616,2.2307692,4.3076925,0,5.846154,2.5387993
"Laboratorio Molecular fps antioxidante +60",17,"7792222121",2.65,0.4,0,0,2.6,1.9,0.8622255
"Bagovit PostSolar Aloe Vera",24,"7790375267766",6.833334,0.08571429,0,1.4285715,5.3809524,4.714286,2.1062121
"La Roche-Posay anthelios age correct fps 50",35,"303757",9.309525,0.52380955,5.285714,1.7142857,9.714286,8.190476,4.6909833
"Villaneuve protector solar efecto seco FPS 30",11,"779987",5.333333,0.16666667,1.6666667,3.3333335,5.666667,2.1111112,2.0873597
"LA ROCHE-POSAY PROTECTOR SOLAR DE USO DIARIO",34,"337875761031",11.749998,0.52727276,5.318182,1.7272727,10.272727,7.8636365,4.2779045
"NIVEA PROTETOR LABIAL SUN PROTECT FPS30 4,8G",29,"7890704851335",10.907408,0.4740741,5.259259,4.4814816,10.222221,4.4074078,9
"PROTETOR SOLAR FACIAL ANTIOLEOSIDADE LA ROCHE-POSAY ANTHELIOS AIRLICIUM FPS 30 50G",35,"7899706111829",12.790322,0.9451613,4.483871,1.8709677,13.387096,10.870967,7.0774536
"DELIAL Sensitive Advanced leche solar Niños SPF-50+",29,"3600541126885",14.922223,0.8518519,5.4814816,1.925926,16.592592,10.037037,7.456399
"Coppertone Waterbabies Pure & Simple Protector solar en loción, SPF 50",24,"111589",3.6666667,0.4,0.61904764,1.4285715,8.571429,1.2857144,2.3908188
"Dermaglós solar FPS50 cuidado facial crema con color",31,"7793742004568",11.543478,0.4695652,3.173913,3.565217,5.478261,7.3913045,4.2701545
"Vichy CAPITAL SOLEIL Multi-Protection Milk SPF 50",37,"77969",10.362068,0.68620694,6.8275857,1.9310344,16.896551,6.4827585,5.831804
"Villeneuve Protector solar en crema FPS 50",27,"779986",9.272727,0.8499999,3.181818,3,7.3181815,5.0454545,3.273965
"Fotoprotector ISDIN Fusion Fluid Mineral Baby Pediatrics SPF 50+",29,"77998",7.3599997,0.228,1.52,1.92,9.08,2.6399999,3.4052274
"RAYITO DE SOL PROTECTOR SOLAR MINERAL FPS 50",14,"7796045102610",0.5,0,0.5,0,1.5,2.4166667,0.56149346
"Ecodherm protector solar spf 30 UVA",16,"779123",1.9230769,0.5538462,1,0,3.2307692,2.8153846,1.0875549
"Sulderm FPS 50+",34,"7798167583322",10.749999,1.0000001,5.75,1.9285715,19.392857,5.3571424,5.045283
"Isdin Fotoprotector gel cream 50spf",31,"779123111",10.196427,0.8392857,6.25,3.642857,15.249999,8.142857,5.061598
"BlueBerry Siberica Face cream spf20",27,"779126111",5.295,0.26999998,1.1,4,4.7,3.7500002,3.0505176
"Natura Fotoequilibrio Facial FPS 50",37,"779127111",5.709375,0.81875,0.40625,1.9375,4.59375,6.59375,3.2012281
