"name","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Dove Loção Desodorante Hidratante Corporal Dove Nutrição Essencial 200ml","7501056348922",10.570967,0.21612902,1.6129031,2.2580645,9.774193,9.258064,8.913216
"Vasenol Loção Desodorante Hidratante Nutrição do Cacau 200ml","7891150028425",9.37037,0.19259259,0.8148148,0.962963,9.333332,7.7777777,8.946228
"WELEDA SABONETE LIQUIDO CORPORAL","4001638093668",5.3235297,0.05294118,0,0,0.64705884,5.470588,9.323875
"Nivea Soft Cream","4005808890590",12.326922,0.06923077,0.46153846,0,3.7307692,4.230769,9.199261
"CETAPHIL CREME HIDRATANTE BODY PELE EXTREMAMENTE SECA E SENSIVEL 453G","7897930762053",3.4736843,0.15789475,0.84210527,0.5263158,6.263158,5.105263,9.138504
"BIOEARTH LOOM CREME RICHE CREMA ALLA BAVA DI LUMACA 78%","8029182005025",0.125,0,0,0,0.8125,2.25,9.800781
"Ren Evercalm Latte Detergente Delicato","5060033779064",1.8269231,0.12307693,0.6923077,0,1.8076924,3.3846154,9.6986685
"Biotherm Bath Therapy Invigorating Blend Crema corpo rinvigorente","3614272079687",11.8,0.024,0.84,0,6.2799997,7.32,8.94944
"Biotherm Bath Therapy Invigorating Blend Body Smoothing Scrub","3614272079632",8.325,0.095000006,0,0.45000002,4.65,9.85,8.8315
"Biotherm Eau Vitaminée latte idratante tonificante corpo","3367729023930",8.666666,0.15555556,0,0.22222222,7.7777786,6.0000005,9.154733
"Biotherm Bath Therapy Relaxing Blend Body Hydrating Cream Infused","3614272079533",8.616,0.024,0.84,0,4.96,7.4400005,9.1248
"Biotherm Corpo - Skin Fitness Instant Smoothing&Moisturizing Body Treatment","3614271636812",14.881578,0.3973684,1.1052631,0,10.394736,6.7368417,9.118006
"Biotherm - Super bust tense-in-serum - crema seno rassodante","3614271219404",5,0.05333334,0.93333334,0,5.4666667,2,9.103111
"Biotherm Aqua-gelee gel corpo","3614271250223",6.638889,0.083333336,0,0.2777778,2.7777777,6.7777777,9.080247
"URADIN LOTION10 BODY LOTION","8470003341936",10.224138,0.2862069,0.79310346,0.37931034,10.965518,5.2068963,9.039476
"CeraVe Loción Hidratante","3337875598750",3.5833333,0,0.8333333,0,6.5416665,3.8333333,9.38368
"CeraVe Loción Hidratante","3337875597227",3.521739,0,0.73913044,0,6.434782,6,9.274102
