"name","numero_ingredientes","codigo","allergies_risk","cancer_risk","development_risk","endocryne_risk","env_risk","prohibited_risk","score"
"Ocean skin manteca corporal emulsionada ultra nutritiva coconut",10,"7791099",0.875,0,0,0,2.375,0.125,8.657951
"Ocean skin jabon batido cremoso corporal champagne y frutos rojos",9,"7791100",3.7142856,0,0,0,1.7142857,1.8571429,7.1028795
"Magic Garden jabon semisolido natural lavanda y limon",22,"7791101",0.3888889,0.15555556,0,0,1.1111112,1.4999999,8.745213
"Midnight Recovery Omega Rich Botanical Night Cream",36,"7791102",4.8181815,0.2,0.72727275,0,2.060606,4.2424245,5.208992
"The mash store desodorante natural sólido lavanda",5,"7791103",0,0,0,0,0,0,10
"The mash store desodorante natural sólido tea tree",5,"7791104",0,0,0,0,0,0,10
"VIE MYSTIQ CREMA PARA PEINAR",18,"7791105",2.3076923,0,1.3846154,0,1.6923077,2.8461537,6.7270837
"Narayani desodorante en crema lavanda y tea tree",8,"7791106",0.48000002,0,0.4,0,0.4,1.2,9.013843
"Narayani desodorante solido sin bicarbonato citrico",7,"7791107",0.1,0,0,0,0,1.6,9.324005
"Colibria Shampoo solido equilibrado",9,"7791108",4.7799997,0,0,0,0,3.2,6.826801
"Colibria shampoo solido Anticaida",11,"7791109",2.0428572,0,0,0,0,0.42857143,9.017251
"Narayani Barra de limpieza facial",16,"7791110",0.007692308,0,0,0,1,0.3846154,9.446357
"Colibria desodorante en crema tea tree-limon",14,"7791111",2.5,0,0.5,0,0.5,0.5,8.409424
"Colibria desodorante solido proteccion extra",11,"7791112",1.4,0,0.8333333,0,0.8333333,2.3333333,7.852722
"Baby dove jabon en barra humectacion sensible",19,"7791113",8.058825,0.07647059,0.29411766,0.05882353,6.4117646,3,2.8821712
"La roche posay balsamo reparador calmante",26,"3337872412998",6.0041666,0.14166667,1,0,4.0833335,1.875,4.7892065
"Kamikaze serum eclipse",32,"7791115",12.068964,0.12413794,0,0,4.827586,5.517241,1.0379267
"Cuidado integral vegano desodorante",9,"7791117",0.85714287,0,0.85714287,0,0.85714287,1.4285715,8.409424
"LIPIKAR GEL LAVANT LA ROCHE POSAY",21,"7791118",4.7222223,0.1,0,0,0.6666667,6.166667,5.365237
